"run","page","url","performance","accessibility","best_practices","seo","error"
"1","order","http://localhost:3000/order","47","86","96","92",""
"2","order","http://localhost:3000/order","38","86","96","92",""
"3","order","http://localhost:3000/order","38","86","96","92",""
"4","order","http://localhost:3000/order","38","86","96","92",""
"5","order","http://localhost:3000/order","38","86","96","92",""
"6","order","http://localhost:3000/order","38","86","96","92",""
"7","order","http://localhost:3000/order","38","86","96","92",""
"8","order","http://localhost:3000/order","38","86","96","92",""
"9","order","http://localhost:3000/order","38","86","96","92",""
"10","order","http://localhost:3000/order","37","86","96","92",""
"1","order-payment","http://localhost:3000/order/payment","37","96","96","92",""
"2","order-payment","http://localhost:3000/order/payment","29","96","96","92",""
"3","order-payment","http://localhost:3000/order/payment","29","96","96","92",""
"4","order-payment","http://localhost:3000/order/payment","29","96","96","92",""
"5","order-payment","http://localhost:3000/order/payment","28","96","96","92",""
"6","order-payment","http://localhost:3000/order/payment","31","96","96","92",""
"7","order-payment","http://localhost:3000/order/payment","33","96","96","92",""
"8","order-payment","http://localhost:3000/order/payment","29","96","96","92",""
"9","order-payment","http://localhost:3000/order/payment","32","96","96","92",""
"10","order-payment","http://localhost:3000/order/payment","32","96","96","92",""
"1","customer-dashboard","http://localhost:3000/customer/dashboard","46","92","96","92",""
"2","customer-dashboard","http://localhost:3000/customer/dashboard","38","92","96","92",""
"3","customer-dashboard","http://localhost:3000/customer/dashboard","37","92","96","92",""
"4","customer-dashboard","http://localhost:3000/customer/dashboard","38","92","96","92",""
"5","customer-dashboard","http://localhost:3000/customer/dashboard","37","92","96","92",""
"6","customer-dashboard","http://localhost:3000/customer/dashboard","37","92","96","92",""
"7","customer-dashboard","http://localhost:3000/customer/dashboard","38","92","96","92",""
"8","customer-dashboard","http://localhost:3000/customer/dashboard","37","92","96","92",""
"9","customer-dashboard","http://localhost:3000/customer/dashboard","38","92","96","92",""
"10","customer-dashboard","http://localhost:3000/customer/dashboard","39","92","96","92",""
"1","customer-orders","http://localhost:3000/customer/orders","49","92","96","92",""
"2","customer-orders","http://localhost:3000/customer/orders","38","92","96","92",""
"3","customer-orders","http://localhost:3000/customer/orders","38","92","96","92",""
"4","customer-orders","http://localhost:3000/customer/orders","37","92","96","92",""
"5","customer-orders","http://localhost:3000/customer/orders","38","92","96","92",""
"6","customer-orders","http://localhost:3000/customer/orders","38","92","96","92",""
"7","customer-orders","http://localhost:3000/customer/orders","40","92","96","92",""
"8","customer-orders","http://localhost:3000/customer/orders","38","92","96","92",""
"9","customer-orders","http://localhost:3000/customer/orders","38","92","96","92",""
"10","customer-orders","http://localhost:3000/customer/orders","38","92","96","92",""
"1","customer-notifications","http://localhost:3000/customer/notifications","42","96","96","92",""
"2","customer-notifications","http://localhost:3000/customer/notifications","38","96","96","92",""
"3","customer-notifications","http://localhost:3000/customer/notifications","38","96","96","92",""
"4","customer-notifications","http://localhost:3000/customer/notifications","38","96","96","92",""
"5","customer-notifications","http://localhost:3000/customer/notifications","38","96","96","92",""
"6","customer-notifications","http://localhost:3000/customer/notifications","38","96","96","92",""
"7","customer-notifications","http://localhost:3000/customer/notifications","37","96","96","92",""
"8","customer-notifications","http://localhost:3000/customer/notifications","37","96","96","92",""
"9","customer-notifications","http://localhost:3000/customer/notifications","37","96","96","92",""
"10","customer-notifications","http://localhost:3000/customer/notifications","38","96","96","92",""
"1","customer-settings","http://localhost:3000/customer/settings","48","90","96","92",""
"2","customer-settings","http://localhost:3000/customer/settings","38","90","96","92",""
"3","customer-settings","http://localhost:3000/customer/settings","39","90","96","92",""
"4","customer-settings","http://localhost:3000/customer/settings","38","90","96","92",""
"5","customer-settings","http://localhost:3000/customer/settings","39","90","96","92",""
"6","customer-settings","http://localhost:3000/customer/settings","37","90","96","92",""
"7","customer-settings","http://localhost:3000/customer/settings","41","90","96","92",""
"8","customer-settings","http://localhost:3000/customer/settings","38","90","96","92",""
"9","customer-settings","http://localhost:3000/customer/settings","38","90","96","92",""
"10","customer-settings","http://localhost:3000/customer/settings","38","90","96","92",""
