"run","page","url","performance","accessibility","best_practices","seo","error"
"1","landing","http://localhost:3000/","35","93","100","92",""
"2","landing","http://localhost:3000/","31","93","100","92",""
"3","landing","http://localhost:3000/","31","93","100","92",""
"4","landing","http://localhost:3000/","31","93","100","92",""
"5","landing","http://localhost:3000/","31","93","100","92",""
"6","landing","http://localhost:3000/","31","93","100","92",""
"7","landing","http://localhost:3000/","31","93","100","92",""
"8","landing","http://localhost:3000/","30","93","100","92",""
"9","landing","http://localhost:3000/","32","93","100","92",""
"10","landing","http://localhost:3000/","31","93","100","92",""
"1","sign-in","http://localhost:3000/sign-in","38","94","100","92",""
"2","sign-in","http://localhost:3000/sign-in","38","94","100","92",""
"3","sign-in","http://localhost:3000/sign-in","38","94","100","92",""
"4","sign-in","http://localhost:3000/sign-in","37","94","100","92",""
"5","sign-in","http://localhost:3000/sign-in","37","94","100","92",""
"6","sign-in","http://localhost:3000/sign-in","37","94","100","92",""
"7","sign-in","http://localhost:3000/sign-in","37","94","100","92",""
"8","sign-in","http://localhost:3000/sign-in","37","94","100","92",""
"9","sign-in","http://localhost:3000/sign-in","37","94","100","92",""
"10","sign-in","http://localhost:3000/sign-in","38","94","100","92",""
"1","login","http://localhost:3000/login","37","94","100","92",""
"2","login","http://localhost:3000/login","37","94","100","92",""
"3","login","http://localhost:3000/login","37","94","100","92",""
"4","login","http://localhost:3000/login","37","94","100","92",""
"5","login","http://localhost:3000/login","37","94","100","92",""
"6","login","http://localhost:3000/login","37","94","100","92",""
"7","login","http://localhost:3000/login","37","94","100","92",""
"8","login","http://localhost:3000/login","37","94","100","92",""
"9","login","http://localhost:3000/login","37","94","100","92",""
"10","login","http://localhost:3000/login","37","94","100","92",""
"1","customer-sign-up","http://localhost:3000/customer/sign-up","37","90","100","92",""
"2","customer-sign-up","http://localhost:3000/customer/sign-up","31","90","100","92",""
"3","customer-sign-up","http://localhost:3000/customer/sign-up","31","90","100","92",""
"4","customer-sign-up","http://localhost:3000/customer/sign-up","31","90","100","92",""
"5","customer-sign-up","http://localhost:3000/customer/sign-up","31","90","100","92",""
"6","customer-sign-up","http://localhost:3000/customer/sign-up","31","90","100","92",""
"7","customer-sign-up","http://localhost:3000/customer/sign-up","31","90","100","92",""
"8","customer-sign-up","http://localhost:3000/customer/sign-up","31","90","100","92",""
"9","customer-sign-up","http://localhost:3000/customer/sign-up","31","90","100","92",""
"10","customer-sign-up","http://localhost:3000/customer/sign-up","42","90","100","92",""
"1","customer-sign-in","http://localhost:3000/customer/sign-in","37","94","100","92",""
"2","customer-sign-in","http://localhost:3000/customer/sign-in","42","94","100","92",""
"3","customer-sign-in","http://localhost:3000/customer/sign-in","37","94","100","92",""
"4","customer-sign-in","http://localhost:3000/customer/sign-in","36","94","100","92",""
"5","customer-sign-in","http://localhost:3000/customer/sign-in","37","94","100","92",""
"6","customer-sign-in","http://localhost:3000/customer/sign-in","37","94","100","92",""
"7","customer-sign-in","http://localhost:3000/customer/sign-in","37","94","100","92",""
"8","customer-sign-in","http://localhost:3000/customer/sign-in","36","94","100","92",""
"9","customer-sign-in","http://localhost:3000/customer/sign-in","37","94","100","92",""
"10","customer-sign-in","http://localhost:3000/customer/sign-in","37","94","100","92",""
"1","forgot-password","http://localhost:3000/forgot-password","37","94","100","92",""
"2","forgot-password","http://localhost:3000/forgot-password","37","94","100","92",""
"3","forgot-password","http://localhost:3000/forgot-password","37","94","100","92",""
"4","forgot-password","http://localhost:3000/forgot-password","42","94","100","92",""
"5","forgot-password","http://localhost:3000/forgot-password","29","94","100","92",""
"6","forgot-password","http://localhost:3000/forgot-password","36","94","100","92",""
"7","forgot-password","http://localhost:3000/forgot-password","37","94","100","92",""
"8","forgot-password","http://localhost:3000/forgot-password","37","94","100","92",""
"9","forgot-password","http://localhost:3000/forgot-password","37","94","100","92",""
"10","forgot-password","http://localhost:3000/forgot-password","30","94","100","92",""
"1","maintenance","http://localhost:3000/maintenance","37","94","100","92",""
"2","maintenance","http://localhost:3000/maintenance","37","94","100","92",""
"3","maintenance","http://localhost:3000/maintenance","36","94","100","92",""
"4","maintenance","http://localhost:3000/maintenance","37","94","100","92",""
"5","maintenance","http://localhost:3000/maintenance","37","94","100","92",""
"6","maintenance","http://localhost:3000/maintenance","37","94","100","92",""
"7","maintenance","http://localhost:3000/maintenance","36","94","100","92",""
"8","maintenance","http://localhost:3000/maintenance","37","94","100","92",""
"9","maintenance","http://localhost:3000/maintenance","38","94","100","92",""
"10","maintenance","http://localhost:3000/maintenance","37","94","100","92",""
"1","coming-soon","http://localhost:3000/coming-soon","41","94","100","92",""
"2","coming-soon","http://localhost:3000/coming-soon","37","94","100","92",""
"3","coming-soon","http://localhost:3000/coming-soon","37","94","100","92",""
"4","coming-soon","http://localhost:3000/coming-soon","37","94","100","92",""
"5","coming-soon","http://localhost:3000/coming-soon","37","94","100","92",""
"6","coming-soon","http://localhost:3000/coming-soon","37","94","100","92",""
"7","coming-soon","http://localhost:3000/coming-soon","37","94","100","92",""
"8","coming-soon","http://localhost:3000/coming-soon","36","94","100","92",""
"9","coming-soon","http://localhost:3000/coming-soon","37","94","100","92",""
"10","coming-soon","http://localhost:3000/coming-soon","37","94","100","92",""
"1","access-denied","http://localhost:3000/access-denied","37","94","100","92",""
"2","access-denied","http://localhost:3000/access-denied","37","94","100","92",""
"3","access-denied","http://localhost:3000/access-denied","37","94","100","92",""
"4","access-denied","http://localhost:3000/access-denied","37","94","100","92",""
"5","access-denied","http://localhost:3000/access-denied","37","94","100","92",""
"6","access-denied","http://localhost:3000/access-denied","36","94","100","92",""
"7","access-denied","http://localhost:3000/access-denied","37","94","100","92",""
"8","access-denied","http://localhost:3000/access-denied","37","94","100","92",""
"9","access-denied","http://localhost:3000/access-denied","42","94","100","92",""
"10","access-denied","http://localhost:3000/access-denied","37","94","100","92",""
"1","blank-page","http://localhost:3000/blank-page","37","94","100","92",""
"2","blank-page","http://localhost:3000/blank-page","34","94","100","92",""
"3","blank-page","http://localhost:3000/blank-page","37","94","100","92",""
"4","blank-page","http://localhost:3000/blank-page","37","94","100","92",""
"5","blank-page","http://localhost:3000/blank-page","37","94","100","92",""
"6","blank-page","http://localhost:3000/blank-page","41","94","100","92",""
"7","blank-page","http://localhost:3000/blank-page","34","94","100","92",""
"8","blank-page","http://localhost:3000/blank-page","37","94","100","92",""
"9","blank-page","http://localhost:3000/blank-page","37","94","100","92",""
"10","blank-page","http://localhost:3000/blank-page","37","94","100","92",""
"1","invoice-view","http://localhost:3000/invoice/2 1","43","89","100","91",""
"2","invoice-view","http://localhost:3000/invoice/2 1","39","89","100","91",""
"3","invoice-view","http://localhost:3000/invoice/2 1","39","89","100","91",""
"4","invoice-view","http://localhost:3000/invoice/2 1","39","89","100","91",""
"5","invoice-view","http://localhost:3000/invoice/2 1","38","89","100","91",""
"6","invoice-view","http://localhost:3000/invoice/2 1","38","89","100","91",""
