"run","page","url","performance","accessibility","best_practices","seo","error"
"1","landing","http://localhost:3000/","37","93","100","92",""
"2","landing","http://localhost:3000/","32","93","100","92",""
"3","landing","http://localhost:3000/","32","93","100","92",""
"4","landing","http://localhost:3000/","32","93","100","92",""
"5","landing","http://localhost:3000/","31","93","100","92",""
"6","landing","http://localhost:3000/","32","93","100","92",""
"7","landing","http://localhost:3000/","32","93","100","92",""
"8","landing","http://localhost:3000/","33","93","100","92",""
"9","landing","http://localhost:3000/","32","93","100","92",""
"10","landing","http://localhost:3000/","33","93","100","92",""
"1","sign-in","http://localhost:3000/sign-in","38","94","100","92",""
"2","sign-in","http://localhost:3000/sign-in","39","94","100","92",""
"3","sign-in","http://localhost:3000/sign-in","40","94","100","92",""
"4","sign-in","http://localhost:3000/sign-in","39","94","100","92",""
"5","sign-in","http://localhost:3000/sign-in","38","94","100","92",""
"6","sign-in","http://localhost:3000/sign-in","39","94","100","92",""
"7","sign-in","http://localhost:3000/sign-in","39","94","100","92",""
"8","sign-in","http://localhost:3000/sign-in","35","94","100","92",""
"9","sign-in","http://localhost:3000/sign-in","39","94","100","92",""
"10","sign-in","http://localhost:3000/sign-in","38","94","100","92",""
"1","login","http://localhost:3000/login","37","94","100","92",""
"2","login","http://localhost:3000/login","38","94","100","92",""
"3","login","http://localhost:3000/login","40","94","100","92",""
"4","login","http://localhost:3000/login","40","94","100","92",""
"5","login","http://localhost:3000/login","35","94","100","92",""
"6","login","http://localhost:3000/login","40","94","100","92",""
"7","login","http://localhost:3000/login","38","94","100","92",""
"8","login","http://localhost:3000/login","33","94","100","92",""
"9","login","http://localhost:3000/login","36","94","100","92",""
"10","login","http://localhost:3000/login","37","94","100","92",""
"1","order","http://localhost:3000/order","46","86","96","92",""
"2","order","http://localhost:3000/order","38","86","96","92",""
"3","order","http://localhost:3000/order","38","86","96","92",""
"4","order","http://localhost:3000/order","39","86","96","92",""
"5","order","http://localhost:3000/order","38","86","96","92",""
"6","order","http://localhost:3000/order","38","86","96","92",""
"7","order","http://localhost:3000/order","38","86","96","92",""
"8","order","http://localhost:3000/order","38","86","96","92",""
"9","order","http://localhost:3000/order","38","86","96","92",""
