"page","url","samples","performance","accessibility","best_practices","seo"
"access-denied","http://localhost:3000/access-denied","10","37.4","94","100","92"
"blank-page","http://localhost:3000/blank-page","10","36.8","94","100","92"
"coming-soon","http://localhost:3000/coming-soon","10","37.3","94","100","92"
"customer-sign-in","http://localhost:3000/customer/sign-in","10","37.3","94","100","92"
"customer-sign-up","http://localhost:3000/customer/sign-up","10","32.7","90","100","92"
"forgot-password","http://localhost:3000/forgot-password","10","35.9","94","100","92"
"invoice-view","http://localhost:3000/invoice/2 1","10","39.1","89","100","91"
"landing","http://localhost:3000/","10","31.4","93","100","92"
"login","http://localhost:3000/login","10","37","94","100","92"
"maintenance","http://localhost:3000/maintenance","10","36.9","94","100","92"
"sign-in","http://localhost:3000/sign-in","10","37.4","94","100","92"
