"page","url","samples","performance","accessibility","best_practices","seo"
"access-denied","http://localhost:3000/access-denied","10","37.8","94","100","92"
"add-user","http://localhost:3000/add-user","10","34.9","94","96","92"
"armada-add","http://localhost:3000/armada-add","10","31.3","84.6","86.4","82.8"
"armada-edit","http://localhost:3000/armada-edit/4","10","34.8","94","96","92"
"armada-list","http://localhost:3000/armada-list","10","35","94","96","92"
"assign-role","http://localhost:3000/assign-role","10","0","0","0","0"
"blank-page","http://localhost:3000/blank-page","10","38.7","94","100","92"
"calendar","http://localhost:3000/calendar","10","34.4","94","96","92"
"calendar-main","http://localhost:3000/calendar-main","10","34.9","94","96","92"
"coming-soon","http://localhost:3000/coming-soon","10","38.3","94","100","92"
"customer-dashboard","http://localhost:3000/customer/dashboard","10","38.9","92","96","92"
"customer-notifications","http://localhost:3000/customer/notifications","10","38.7","96","96","92"
"customer-orders","http://localhost:3000/customer/orders","10","39.3","96","96","92"
"customer-registrations","http://localhost:3000/customer-registrations","10","32","94","96","92"
"customer-settings","http://localhost:3000/customer/settings","10","40.2","90","96","92"
"customer-sign-in","http://localhost:3000/customer/sign-in","10","38.5","94","100","92"
"customer-sign-up","http://localhost:3000/customer/sign-up","10","32","90","100","92"
"dashboard","http://localhost:3000/dashboard","10","34.4","94","96","92"
"expense-preview","http://localhost:3000/expense-preview","10","34.6","94","96","92"
"forgot-password","http://localhost:3000/forgot-password","10","38.5","94","100","92"
"invoice-add","http://localhost:3000/invoice-add","10","34.7","94","96","92"
"invoice-edit","http://localhost:3000/invoice-edit","10","34.9","94","96","92"
"invoice-expense","http://localhost:3000/invoice-expense","10","35.2","94","96","92"
"invoice-expense-edit","http://localhost:3000/invoice-expense-edit","10","34.5","94","96","92"
"invoice-list","http://localhost:3000/invoice-list","10","34.5","94","96","92"
"invoice-preview","http://localhost:3000/invoice-preview","10","35.2","94","96","92"
"invoice-view","http://localhost:3000/invoice/2 1","10","39.2","89","100","91"
"landing","http://localhost:3000/","10","32.1","93","100","92"
"login","http://localhost:3000/login","10","38.1","94","100","92"
"maintenance","http://localhost:3000/maintenance","10","37.8","94","100","92"
"order","http://localhost:3000/order","10","37.9","94","100","92"
"order-acceptance","http://localhost:3000/order-acceptance","10","33.9","94","96","92"
"order-payment","http://localhost:3000/order/payment","10","37.9","94","100","92"
"role-access","http://localhost:3000/role-access","10","0","0","0","0"
"sign-in","http://localhost:3000/sign-in","10","37.4","94","100","92"
